Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
C1,C_0402_1005Metric,-132.2500mm,-54.7500mm,,,,,bottom,270,82pF
C2,C_0402_1005Metric,-135.2500mm,-54.7500mm,,,,,bottom,270,82pF
C3,C_0402_1005Metric,-144.7500mm,-54.7500mm,,,,,bottom,270,82pF
C4,C_0402_1005Metric,-147.7500mm,-54.7500mm,,,,,bottom,270,82pF
C5,C_0402_1005Metric,-150.0000mm,-54.7500mm,,,,,bottom,270,82pF
C6,C_0402_1005Metric,-113.8000mm,-56.8000mm,,,,,bottom,270,100nF
C7,CP_Elec_10x14.3,-117.5000mm,-68.0000mm,,,,,bottom,90,150uF_63V_poly
C8,CP_Elec_10x14.3,-152.0000mm,-68.0000mm,,,,,bottom,90,150uF_63V_poly
C9,CP_Elec_10x14.3,-140.5000mm,-68.0000mm,,,,,bottom,90,150uF_63V_poly
C10,CP_Elec_10x14.3,-129.0000mm,-68.0000mm,,,,,bottom,90,150uF_63V_poly
C58,CP_Elec_10x14.3,-106.0000mm,-68.0000mm,,,,,bottom,90,150uF_63V_poly
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-103.3000mm,-58.0000mm,,,,,bottom,90,SM04B-SRSS-TB(LF)(SN)
J5,USB_Micro-B_Molex_47346-0001,-155.4000mm,-57.5000mm,,,,,bottom,270,473460001
R1,R_0402_1005Metric,-131.2500mm,-54.7500mm,,,,,bottom,270,0R
R2,R_0402_1005Metric,-134.2500mm,-54.7650mm,,,,,bottom,270,0R
R3,R_0402_1005Metric,-114.6000mm,-54.4000mm,,,,,bottom,180,3.3k
R4,R_0402_1005Metric,-110.8000mm,-54.4000mm,,,,,bottom,0,3.3k
R6,R_0402_1005Metric,-143.7500mm,-54.7500mm,,,,,bottom,270,0R
R7,R_0402_1005Metric,-146.7500mm,-54.7500mm,,,,,bottom,270,0R
R8,R_0402_1005Metric,-149.0000mm,-54.7650mm,,,,,bottom,270,0R
R9,R_0402_1005Metric,-151.2000mm,-57.6000mm,,,,,bottom,0,22R
R10,R_0402_1005Metric,-151.2000mm,-56.5000mm,,,,,bottom,0,22R
R11,R_0402_1005Metric,-132.5000mm,-60.7500mm,,,,,bottom,90,10k
R12,R_0402_1005Metric,-108.4000mm,-56.8000mm,,,,,bottom,90,120R
R21,R_0402_1005Metric,-129.2000mm,-60.7000mm,,,,,bottom,0,1k
R25,R_0402_1005Metric,-150.9000mm,-59.6000mm,,,,,bottom,0,10k
R26,R_0402_1005Metric,-144.3000mm,-61.6000mm,,,,,bottom,0,10k
R27,R_0402_1005Metric,-150.9000mm,-60.7000mm,,,,,bottom,0,10k
R31,R_0402_1005Metric,-138.9000mm,-60.6000mm,,,,,bottom,180,3.3k
SW1,SW_SPST_B3U-1000P,-135.5000mm,-60.5000mm,,,,,bottom,180,B3U-1000P-B
SW2,SW_SPST_B3U-1000P,-123.7000mm,-60.5000mm,,,,,bottom,180,B3U-1000P-B
U1,SOT-23-8,-111.4000mm,-56.8000mm,,,,,bottom,180,TCAN332GDCNT
C11,C_1210_3225Metric,154.4000mm,-81.1000mm,,,,,top,0,10uF_63V_
C12,C_1210_3225Metric,154.4000mm,-84.4000mm,,,,,top,0,10uF_63V_
C13,C_0402_1005Metric,155.6000mm,-86.7000mm,,,,,top,0,0.1uF_100V
C14,C_0402_1005Metric,120.8500mm,-71.0350mm,,,,,top,90,270pF
C15,C_0402_1005Metric,116.5000mm,-76.2500mm,,,,,top,0,2.2uF_25V
C16,C_0402_1005Metric,108.8000mm,-75.5000mm,,,,,top,90,100nF
C17,C_0402_1005Metric,150.7500mm,-59.5000mm,,,,,top,0,1uF_10V
C18,C_0402_1005Metric,154.7000mm,-60.2000mm,,,,,top,0,1uF_10V
C19,C_0402_1005Metric,154.7000mm,-59.2000mm,,,,,top,0,0.1uF_25V
C20,C_0402_1005Metric,121.4500mm,-77.5000mm,,,,,top,270,2.2uF_16V
C21,C_0402_1005Metric,131.0000mm,-59.0000mm,,,,,top,135,2.2uF_25V
C22,C_0402_1005Metric,123.8000mm,-65.2000mm,,,,,top,135,1uF_25V
C23,C_0402_1005Metric,125.9000mm,-63.1000mm,,,,,top,135,1uF_25V
C24,C_0402_1005Metric,130.1000mm,-72.0000mm,,,,,top,225,0.1uF_100V
C25,C_1210_3225Metric,127.5000mm,-70.2500mm,,,,,top,135,4.7uF_100V
C26,C_0402_1005Metric,144.1000mm,-64.9000mm,,,,,top,315,0.1uF_100V
C27,C_1210_3225Metric,143.2500mm,-59.7500mm,,,,,top,135,4.7uF_100V
C28,C_0402_1005Metric,141.5000mm,-67.5000mm,,,,,top,135,0.1uF_50V
C29,C_0402_1005Metric,140.5000mm,-69.2500mm,,,,,top,135,0.1uF_50V
C30,C_0402_1005Metric,130.4000mm,-59.7000mm,,,,,top,135,0.022uF_50V
C31,C_0402_1005Metric,143.4000mm,-65.6000mm,,,,,top,135,0.1uF_50V
C32,C_0402_1005Metric,138.1000mm,-71.4000mm,,,,,top,135,0.1uF_50V
C33,C_0402_1005Metric,141.0000mm,-75.3000mm,,,,,top,0,2.2uF_16V
C34,C_1210_3225Metric,149.7500mm,-61.7500mm,,,,,top,180,47uF_16V
